RepRapFirmware height map file v2 generated at 2021-07-03 01:38
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
35.00,360.00,15.00,330.00,-1.00,81.24,78.74,5,5
  0.024, -0.019, -0.015, -0.070, -0.004
  0.084,  0.017, -0.004, -0.072, -0.054
  0.142,  0.044,  0.003, -0.088, -0.102
  0.206,  0.112,  0.051, -0.077, -0.092
  0.214,  0.086,  0.041, -0.063, -0.083
